"country","year","sex","age","suicide_100_population","gdp","generation"
"Albania",1989,"male","5-14 years",0,833,"Generation X"
"Albania",1992,"male","35-54 years",3.49,251,"Boomers"
"Albania",1992,"male","15-24 years",3.41,251,"Generation X"
"Albania",1992,"male","55-74 years",3.13,251,"Silent"
"Albania",1992,"male","25-34 years",2.85,251,"Boomers"
"Albania",1992,"female","15-24 years",2.39,251,"Generation X"
"Albania",1992,"female","25-34 years",1.5,251,"Boomers"
"Albania",1992,"female","35-54 years",0.62,251,"Boomers"
"Albania",1992,"female","55-74 years",0.61,251,"Silent"
"Albania",1992,"female","5-14 years",0,251,"Millenials"
"Albania",1992,"female","75+ years",0,251,"G.I. Generation"
"Albania",1992,"male","5-14 years",0,251,"Millenials"
"Albania",1992,"male","75+ years",0,251,"G.I. Generation"
"Albania",1993,"male","15-24 years",7.4,437,"Generation X"
"Albania",1993,"male","55-74 years",4.24,437,"Silent"
"Albania",1993,"male","75+ years",4.13,437,"G.I. Generation"
"Albania",1993,"male","25-34 years",3.91,437,"Boomers"
"Albania",1993,"female","15-24 years",3.51,437,"Generation X"
"Albania",1993,"male","35-54 years",2.85,437,"Boomers"
"Albania",1993,"female","25-34 years",2.67,437,"Boomers"
"Albania",1993,"female","35-54 years",2.11,437,"Boomers"
"Albania",1993,"female","55-74 years",1.18,437,"Silent"
"Albania",1993,"female","5-14 years",0.29,437,"Millenials"
"Albania",1993,"male","5-14 years",0.27,437,"Millenials"
"Albania",1993,"female","75+ years",0,437,"G.I. Generation"
"Albania",1994,"male","75+ years",8.13,697,"G.I. Generation"
"Albania",1994,"male","55-74 years",6.42,697,"Silent"
"Albania",1994,"female","75+ years",5.01,697,"G.I. Generation"
"Albania",1994,"male","25-34 years",2.59,697,"Boomers"
"Albania",1994,"male","35-54 years",2.48,697,"Boomers"
"Albania",1994,"male","15-24 years",2.48,697,"Generation X"
"Albania",1994,"female","15-24 years",2.12,697,"Generation X"
"Albania",1994,"female","25-34 years",1.53,697,"Boomers"
"Albania",1994,"female","35-54 years",0.58,697,"Boomers"
"Albania",1994,"female","55-74 years",0.57,697,"Silent"
"Albania",1994,"male","5-14 years",0.27,697,"Millenials"
"Albania",1994,"female","5-14 years",0,697,"Millenials"
"Albania",1995,"male","25-34 years",5.58,835,"Generation X"
"Albania",1995,"male","55-74 years",5.06,835,"Silent"
"Albania",1995,"female","75+ years",4.9,835,"G.I. Generation"
"Albania",1995,"female","15-24 years",4.59,835,"Generation X"
"Albania",1995,"male","15-24 years",4.56,835,"Generation X"
"Albania",1995,"male","75+ years",3.98,835,"G.I. Generation"
"Albania",1995,"male","35-54 years",3.72,835,"Boomers"
"Albania",1995,"female","25-34 years",2.65,835,"Generation X"
"Albania",1995,"female","35-54 years",2.24,835,"Boomers"
"Albania",1995,"male","5-14 years",1.59,835,"Millenials"
"Albania",1995,"female","55-74 years",1.11,835,"Silent"
"Albania",1995,"female","5-14 years",0.57,835,"Millenials"
"Albania",1996,"male","75+ years",7.87,1127,"G.I. Generation"
"Albania",1996,"male","15-24 years",6.98,1127,"Generation X"
"Albania",1996,"male","25-34 years",5.95,1127,"Generation X"
"Albania",1996,"female","15-24 years",5.56,1127,"Generation X"
"Albania",1996,"female","75+ years",4.85,1127,"G.I. Generation"
"Albania",1996,"female","25-34 years",3.73,1127,"Generation X"
"Albania",1996,"male","35-54 years",3.16,1127,"Boomers"
"Albania",1996,"female","35-54 years",2.49,1127,"Boomers"
"Albania",1996,"male","55-74 years",1.67,1127,"Silent"
"Albania",1996,"female","55-74 years",0.55,1127,"Silent"
"Albania",1996,"male","5-14 years",0.53,1127,"Millenials"
"Albania",1996,"female","5-14 years",0.28,1127,"Millenials"
"Albania",1997,"male","25-34 years",15.25,793,"Generation X"
"Albania",1997,"male","15-24 years",13.5,793,"Generation X"
"Albania",1997,"male","75+ years",11.81,793,"G.I. Generation"
"Albania",1997,"male","35-54 years",7.88,793,"Boomers"
"Albania",1997,"female","15-24 years",7.14,793,"Generation X"
"Albania",1997,"male","55-74 years",6.66,793,"Silent"
"Albania",1997,"female","25-34 years",5.84,793,"Generation X"
"Albania",1997,"female","75+ years",4.75,793,"G.I. Generation"
"Albania",1997,"female","35-54 years",1.89,793,"Boomers"
"Albania",1997,"female","5-14 years",1.66,793,"Millenials"
"Albania",1997,"male","5-14 years",1.05,793,"Millenials"
"Albania",1997,"female","55-74 years",0,793,"Silent"
"Albania",1998,"male","75+ years",11.63,899,"G.I. Generation"
"Albania",1998,"male","15-24 years",10.85,899,"Generation X"
"Albania",1998,"female","15-24 years",10.83,899,"Generation X"
"Albania",1998,"male","25-34 years",10.82,899,"Generation X"
"Albania",1998,"male","35-54 years",7.47,899,"Boomers"
"Albania",1998,"male","55-74 years",4.9,899,"Silent"
"Albania",1998,"female","25-34 years",3.63,899,"Generation X"
"Albania",1998,"female","55-74 years",3.19,899,"Silent"
"Albania",1998,"female","35-54 years",2.42,899,"Boomers"
"Albania",1998,"male","5-14 years",0.51,899,"Millenials"
"Albania",1998,"female","5-14 years",0.27,899,"Millenials"
"Albania",1998,"female","75+ years",0,899,"G.I. Generation"
"Albania",1999,"male","75+ years",11.58,1127,"G.I. Generation"
"Albania",1999,"male","15-24 years",9.58,1127,"Generation X"
"Albania",1999,"female","75+ years",9.43,1127,"G.I. Generation"
"Albania",1999,"male","35-54 years",7.93,1127,"Boomers"
"Albania",1999,"male","25-34 years",7.84,1127,"Generation X"
"Albania",1999,"male","55-74 years",7.56,1127,"Silent"
"Albania",1999,"female","15-24 years",6.4,1127,"Generation X"
"Albania",1999,"female","25-34 years",4.7,1127,"Generation X"
"Albania",1999,"female","55-74 years",3.18,1127,"Silent"
"Albania",1999,"female","35-54 years",1.34,1127,"Boomers"
"Albania",1999,"female","5-14 years",0.27,1127,"Millenials"
"Albania",1999,"male","5-14 years",0,1127,"Millenials"
"Albania",2000,"male","25-34 years",7.33,1299,"Generation X"
"Albania",2000,"male","55-74 years",5.64,1299,"Silent"
"Albania",2000,"female","75+ years",5.29,1299,"G.I. Generation"
"Albania",2000,"male","75+ years",4.02,1299,"G.I. Generation"
"Albania",2000,"female","15-24 years",2.27,1299,"Generation X"
"Albania",2000,"male","15-24 years",2.08,1299,"Generation X"
"Albania",2000,"female","35-54 years",1.51,1299,"Boomers"
"Albania",2000,"female","25-34 years",1.22,1299,"Generation X"
"Albania",2000,"male","35-54 years",1.07,1299,"Boomers"
"Albania",2000,"male","5-14 years",0.27,1299,"Millenials"
"Albania",2000,"female","5-14 years",0,1299,"Millenials"
"Albania",2000,"female","55-74 years",0,1299,"Silent"
"Albania",2001,"male","25-34 years",10.65,1451,"Generation X"
"Albania",2001,"male","35-54 years",8.98,1451,"Boomers"
"Albania",2001,"male","55-74 years",5.59,1451,"Silent"
"Albania",2001,"female","75+ years",4.23,1451,"Silent"
"Albania",2001,"male","15-24 years",3.91,1451,"Millenials"
"Albania",2001,"female","15-24 years",3.32,1451,"Millenials"
"Albania",2001,"female","35-54 years",3.24,1451,"Boomers"
"Albania",2001,"male","75+ years",3.22,1451,"Silent"
"Albania",2001,"female","55-74 years",3.16,1451,"Silent"
"Albania",2001,"male","5-14 years",1.87,1451,"Millenials"
"Albania",2001,"female","25-34 years",1.8,1451,"Generation X"
"Albania",2001,"female","5-14 years",0.65,1451,"Millenials"
"Albania",2002,"male","75+ years",12.9,1573,"Silent"
"Albania",2002,"male","25-34 years",11.15,1573,"Generation X"
"Albania",2002,"male","35-54 years",9.16,1573,"Boomers"
"Albania",2002,"male","55-74 years",6.56,1573,"Silent"
"Albania",2002,"male","15-24 years",5.7,1573,"Millenials"
"Albania",2002,"female","15-24 years",5.07,1573,"Millenials"
"Albania",2002,"female","35-54 years",4,1573,"Boomers"
"Albania",2002,"female","25-34 years",3.13,1573,"Generation X"
"Albania",2002,"female","75+ years",2.11,1573,"Silent"
"Albania",2002,"female","55-74 years",2.09,1573,"Silent"
"Albania",2002,"female","5-14 years",0.33,1573,"Millenials"
"Albania",2002,"male","5-14 years",0.31,1573,"Millenials"
"Albania",2003,"female","75+ years",12.22,2021,"Silent"
"Albania",2003,"male","55-74 years",7.94,2021,"Silent"
"Albania",2003,"male","35-54 years",7.25,2021,"Boomers"
"Albania",2003,"male","15-24 years",5.49,2021,"Millenials"
"Albania",2003,"female","15-24 years",4.93,2021,"Millenials"
"Albania",2003,"female","55-74 years",4.6,2021,"Silent"
"Albania",2003,"male","25-34 years",4.38,2021,"Generation X"
"Albania",2003,"female","25-34 years",4.04,2021,"Generation X"
"Albania",2003,"female","35-54 years",3.41,2021,"Boomers"
"Albania",2003,"male","75+ years",3.06,2021,"Silent"
"Albania",2003,"male","5-14 years",1.28,2021,"Millenials"
"Albania",2003,"female","5-14 years",0,2021,"Millenials"
"Albania",2004,"male","75+ years",11.26,2544,"Silent"
"Albania",2004,"male","35-54 years",9.95,2544,"Boomers"
"Albania",2004,"male","25-34 years",7.85,2544,"Generation X"
"Albania",2004,"female","15-24 years",6.84,2544,"Millenials"
"Albania",2004,"male","15-24 years",6.63,2544,"Millenials"
"Albania",2004,"female","75+ years",5.89,2544,"Silent"
"Albania",2004,"female","25-34 years",4.95,2544,"Generation X"
"Albania",2004,"male","55-74 years",4.83,2544,"Silent"
"Albania",2004,"female","35-54 years",4.34,2544,"Boomers"
"Albania",2004,"female","55-74 years",1.47,2544,"Silent"
"Albania",2004,"female","5-14 years",1.05,2544,"Millenials"
"Albania",2004,"male","5-14 years",0.33,2544,"Millenials"
"Albania",2005,"female","15-24 years",0,2931,"Millenials"
"Albania",2005,"female","25-34 years",0,2931,"Generation X"
"Albania",2005,"female","35-54 years",0,2931,"Boomers"
"Albania",2005,"female","5-14 years",0,2931,"Millenials"
"Albania",2005,"female","55-74 years",0,2931,"Silent"
"Albania",2005,"female","75+ years",0,2931,"Silent"
"Albania",2005,"male","15-24 years",0,2931,"Millenials"
"Albania",2005,"male","25-34 years",0,2931,"Generation X"
"Albania",2005,"male","35-54 years",0,2931,"Boomers"
"Albania",2005,"male","5-14 years",0,2931,"Millenials"
"Albania",2005,"male","55-74 years",0,2931,"Silent"
"Albania",2005,"male","75+ years",0,2931,"Silent"
"Albania",2006,"female","15-24 years",0,3235,"Millenials"
"Albania",2006,"female","25-34 years",0,3235,"Generation X"
"Albania",2006,"female","35-54 years",0,3235,"Boomers"
"Albania",2006,"female","5-14 years",0,3235,"Millenials"
"Albania",2006,"female","55-74 years",0,3235,"Silent"
"Albania",2006,"female","75+ years",0,3235,"Silent"
"Albania",2006,"male","15-24 years",0,3235,"Millenials"
"Albania",2006,"male","25-34 years",0,3235,"Generation X"
"Albania",2006,"male","35-54 years",0,3235,"Boomers"
"Albania",2006,"male","5-14 years",0,3235,"Millenials"
"Albania",2006,"male","55-74 years",0,3235,"Silent"
"Albania",2006,"male","75+ years",0,3235,"Silent"
"Albania",2007,"male","75+ years",18.88,3863,"Silent"
"Albania",2007,"male","35-54 years",7.66,3863,"Boomers"
"Albania",2007,"male","55-74 years",6.25,3863,"Silent"
"Albania",2007,"female","75+ years",5.23,3863,"Silent"
"Albania",2007,"male","25-34 years",5.22,3863,"Generation X"
"Albania",2007,"female","15-24 years",4.63,3863,"Millenials"
"Albania",2007,"male","15-24 years",4.51,3863,"Millenials"
"Albania",2007,"female","25-34 years",4.36,3863,"Generation X"
"Albania",2007,"female","55-74 years",4.07,3863,"Silent"
"Albania",2007,"female","35-54 years",3.57,3863,"Boomers"
"Albania",2007,"male","5-14 years",1.47,3863,"Generation Z"
"Albania",2007,"female","5-14 years",0,3863,"Generation Z"
"Albania",2008,"male","25-34 years",12.15,4672,"Generation X"
"Albania",2008,"male","35-54 years",9.81,4672,"Boomers"
"Albania",2008,"male","55-74 years",9.18,4672,"Silent"
"Albania",2008,"female","75+ years",8.42,4672,"Silent"
"Albania",2008,"female","15-24 years",7.24,4672,"Millenials"
"Albania",2008,"female","25-34 years",4.93,4672,"Generation X"
"Albania",2008,"female","35-54 years",4.82,4672,"Boomers"
"Albania",2008,"male","75+ years",4.49,4672,"Silent"
"Albania",2008,"male","15-24 years",3.84,4672,"Millenials"
"Albania",2008,"female","55-74 years",3.09,4672,"Silent"
"Albania",2008,"male","5-14 years",2.67,4672,"Generation Z"
"Albania",2008,"female","5-14 years",0.41,4672,"Generation Z"
"Albania",2009,"female","15-24 years",0,4387,"Millenials"
"Albania",2009,"female","25-34 years",0,4387,"Generation X"
"Albania",2009,"female","35-54 years",0,4387,"Boomers"
"Albania",2009,"female","5-14 years",0,4387,"Generation Z"
"Albania",2009,"female","55-74 years",0,4387,"Silent"
"Albania",2009,"female","75+ years",0,4387,"Silent"
"Albania",2009,"male","15-24 years",0,4387,"Millenials"
"Albania",2009,"male","25-34 years",0,4387,"Generation X"
"Albania",2009,"male","35-54 years",0,4387,"Boomers"
"Albania",2009,"male","5-14 years",0,4387,"Generation Z"
"Albania",2009,"male","55-74 years",0,4387,"Silent"
"Albania",2009,"male","75+ years",0,4387,"Silent"
"Albania",2010,"male","55-74 years",8.27,4359,"Silent"
"Albania",2010,"male","35-54 years",5.38,4359,"Generation X"
"Albania",2010,"male","25-34 years",5.01,4359,"Generation X"
"Albania",2010,"male","75+ years",3.94,4359,"Silent"
"Albania",2010,"male","15-24 years",3.58,4359,"Millenials"
"Albania",2010,"female","25-34 years",3.27,4359,"Generation X"
"Albania",2010,"female","75+ years",3.1,4359,"Silent"
"Albania",2010,"female","35-54 years",3.04,4359,"Generation X"
"Albania",2010,"female","55-74 years",2.9,4359,"Silent"
"Albania",2010,"female","15-24 years",2.28,4359,"Millenials"
"Albania",2010,"female","5-14 years",0.89,4359,"Generation Z"
"Albania",2010,"male","5-14 years",0,4359,"Generation Z"
"Antigua and Barbuda",1985,"female","15-24 years",0,3850,"Generation X"
"Antigua and Barbuda",1985,"female","25-34 years",0,3850,"Boomers"
"Antigua and Barbuda",1985,"female","35-54 years",0,3850,"Silent"
"Antigua and Barbuda",1985,"female","5-14 years",0,3850,"Generation X"
"Antigua and Barbuda",1985,"female","55-74 years",0,3850,"G.I. Generation"
"Antigua and Barbuda",1985,"female","75+ years",0,3850,"G.I. Generation"
"Antigua and Barbuda",1985,"male","15-24 years",0,3850,"Generation X"
"Antigua and Barbuda",1985,"male","25-34 years",0,3850,"Boomers"
"Antigua and Barbuda",1985,"male","35-54 years",0,3850,"Silent"
"Antigua and Barbuda",1985,"male","5-14 years",0,3850,"Generation X"
"Antigua and Barbuda",1985,"male","55-74 years",0,3850,"G.I. Generation"
"Antigua and Barbuda",1985,"male","75+ years",0,3850,"G.I. Generation"
"Antigua and Barbuda",1986,"female","15-24 years",0,4740,"Generation X"
"Antigua and Barbuda",1986,"female","25-34 years",0,4740,"Boomers"
"Antigua and Barbuda",1986,"female","35-54 years",0,4740,"Silent"
"Antigua and Barbuda",1986,"female","5-14 years",0,4740,"Generation X"
"Antigua and Barbuda",1986,"female","55-74 years",0,4740,"G.I. Generation"
"Antigua and Barbuda",1986,"female","75+ years",0,4740,"G.I. Generation"
"Antigua and Barbuda",1986,"male","15-24 years",0,4740,"Generation X"
"Antigua and Barbuda",1986,"male","25-34 years",0,4740,"Boomers"
"Antigua and Barbuda",1986,"male","35-54 years",0,4740,"Silent"
"Antigua and Barbuda",1986,"male","5-14 years",0,4740,"Generation X"
"Antigua and Barbuda",1986,"male","55-74 years",0,4740,"G.I. Generation"
"Antigua and Barbuda",1986,"male","75+ years",0,4740,"G.I. Generation"
"Antigua and Barbuda",1987,"female","15-24 years",0,5595,"Generation X"
"Antigua and Barbuda",1987,"female","25-34 years",0,5595,"Boomers"
"Antigua and Barbuda",1987,"female","35-54 years",0,5595,"Silent"
"Antigua and Barbuda",1987,"female","5-14 years",0,5595,"Generation X"
"Antigua and Barbuda",1987,"female","55-74 years",0,5595,"G.I. Generation"
"Antigua and Barbuda",1987,"female","75+ years",0,5595,"G.I. Generation"
"Antigua and Barbuda",1987,"male","15-24 years",0,5595,"Generation X"
"Antigua and Barbuda",1987,"male","25-34 years",0,5595,"Boomers"
"Antigua and Barbuda",1987,"male","35-54 years",0,5595,"Silent"
"Antigua and Barbuda",1987,"male","5-14 years",0,5595,"Generation X"
"Antigua and Barbuda",1987,"male","55-74 years",0,5595,"G.I. Generation"
"Antigua and Barbuda",1987,"male","75+ years",0,5595,"G.I. Generation"
"Antigua and Barbuda",1988,"female","15-24 years",0,6693,"Generation X"
"Antigua and Barbuda",1988,"female","25-34 years",0,6693,"Boomers"
"Antigua and Barbuda",1988,"female","35-54 years",0,6693,"Silent"
"Antigua and Barbuda",1988,"female","5-14 years",0,6693,"Generation X"
"Antigua and Barbuda",1988,"female","55-74 years",0,6693,"G.I. Generation"
"Antigua and Barbuda",1988,"female","75+ years",0,6693,"G.I. Generation"
"Antigua and Barbuda",1988,"male","15-24 years",0,6693,"Generation X"
"Antigua and Barbuda",1988,"male","25-34 years",0,6693,"Boomers"
"Antigua and Barbuda",1988,"male","35-54 years",0,6693,"Silent"
"Antigua and Barbuda",1988,"male","5-14 years",0,6693,"Generation X"
"Antigua and Barbuda",1988,"male","55-74 years",0,6693,"G.I. Generation"
"Antigua and Barbuda",1988,"male","75+ years",0,6693,"G.I. Generation"
"Antigua and Barbuda",1989,"female","15-24 years",0,7407,"Generation X"
"Antigua and Barbuda",1989,"female","25-34 years",0,7407,"Boomers"
"Antigua and Barbuda",1989,"female","35-54 years",0,7407,"Silent"
"Antigua and Barbuda",1989,"female","5-14 years",0,7407,"Generation X"
"Antigua and Barbuda",1989,"female","55-74 years",0,7407,"G.I. Generation"
"Antigua and Barbuda",1989,"female","75+ years",0,7407,"G.I. Generation"
"Antigua and Barbuda",1989,"male","15-24 years",0,7407,"Generation X"
"Antigua and Barbuda",1989,"male","25-34 years",0,7407,"Boomers"
"Antigua and Barbuda",1989,"male","35-54 years",0,7407,"Silent"
"Antigua and Barbuda",1989,"male","5-14 years",0,7407,"Generation X"
"Antigua and Barbuda",1989,"male","55-74 years",0,7407,"G.I. Generation"
"Antigua and Barbuda",1989,"male","75+ years",0,7407,"G.I. Generation"
"Antigua and Barbuda",1990,"male","35-54 years",17.24,7744,"Silent"
"Antigua and Barbuda",1990,"female","15-24 years",0,7744,"Generation X"
"Antigua and Barbuda",1990,"female","25-34 years",0,7744,"Boomers"
"Antigua and Barbuda",1990,"female","35-54 years",0,7744,"Silent"
"Antigua and Barbuda",1990,"female","5-14 years",0,7744,"Generation X"
"Antigua and Barbuda",1990,"female","55-74 years",0,7744,"G.I. Generation"
"Antigua and Barbuda",1990,"female","75+ years",0,7744,"G.I. Generation"
"Antigua and Barbuda",1990,"male","15-24 years",0,7744,"Generation X"
"Antigua and Barbuda",1990,"male","25-34 years",0,7744,"Boomers"
"Antigua and Barbuda",1990,"male","5-14 years",0,7744,"Generation X"
"Antigua and Barbuda",1990,"male","55-74 years",0,7744,"G.I. Generation"
"Antigua and Barbuda",1990,"male","75+ years",0,7744,"G.I. Generation"
"Antigua and Barbuda",1991,"female","15-24 years",0,7976,"Generation X"
"Antigua and Barbuda",1991,"female","25-34 years",0,7976,"Boomers"
"Antigua and Barbuda",1991,"female","35-54 years",0,7976,"Boomers"
"Antigua and Barbuda",1991,"female","5-14 years",0,7976,"Millenials"
"Antigua and Barbuda",1991,"female","55-74 years",0,7976,"Silent"
"Antigua and Barbuda",1991,"female","75+ years",0,7976,"G.I. Generation"
"Antigua and Barbuda",1991,"male","15-24 years",0,7976,"Generation X"
"Antigua and Barbuda",1991,"male","25-34 years",0,7976,"Boomers"
"Antigua and Barbuda",1991,"male","35-54 years",0,7976,"Boomers"
"Antigua and Barbuda",1991,"male","5-14 years",0,7976,"Millenials"
"Antigua and Barbuda",1991,"male","55-74 years",0,7976,"Silent"
"Antigua and Barbuda",1991,"male","75+ years",0,7976,"G.I. Generation"
"Antigua and Barbuda",1992,"female","15-24 years",0,8087,"Generation X"
"Antigua and Barbuda",1992,"female","25-34 years",0,8087,"Boomers"
"Antigua and Barbuda",1992,"female","35-54 years",0,8087,"Boomers"
"Antigua and Barbuda",1992,"female","5-14 years",0,8087,"Millenials"
"Antigua and Barbuda",1992,"female","55-74 years",0,8087,"Silent"
"Antigua and Barbuda",1992,"female","75+ years",0,8087,"G.I. Generation"
"Antigua and Barbuda",1992,"male","15-24 years",0,8087,"Generation X"
"Antigua and Barbuda",1992,"male","25-34 years",0,8087,"Boomers"
"Antigua and Barbuda",1992,"male","35-54 years",0,8087,"Boomers"
"Antigua and Barbuda",1992,"male","5-14 years",0,8087,"Millenials"
"Antigua and Barbuda",1992,"male","55-74 years",0,8087,"Silent"
"Antigua and Barbuda",1992,"male","75+ years",0,8087,"G.I. Generation"
"Antigua and Barbuda",1993,"male","25-34 years",15,8453,"Boomers"
"Antigua and Barbuda",1993,"female","15-24 years",0,8453,"Generation X"
"Antigua and Barbuda",1993,"female","25-34 years",0,8453,"Boomers"
"Antigua and Barbuda",1993,"female","35-54 years",0,8453,"Boomers"
"Antigua and Barbuda",1993,"female","5-14 years",0,8453,"Millenials"
"Antigua and Barbuda",1993,"female","55-74 years",0,8453,"Silent"
"Antigua and Barbuda",1993,"female","75+ years",0,8453,"G.I. Generation"
"Antigua and Barbuda",1993,"male","15-24 years",0,8453,"Generation X"
"Antigua and Barbuda",1993,"male","35-54 years",0,8453,"Boomers"
"Antigua and Barbuda",1993,"male","5-14 years",0,8453,"Millenials"
"Antigua and Barbuda",1993,"male","55-74 years",0,8453,"Silent"
"Antigua and Barbuda",1993,"male","75+ years",0,8453,"G.I. Generation"
"Antigua and Barbuda",1994,"female","15-24 years",0,9062,"Generation X"
"Antigua and Barbuda",1994,"female","25-34 years",0,9062,"Boomers"
"Antigua and Barbuda",1994,"female","35-54 years",0,9062,"Boomers"
"Antigua and Barbuda",1994,"female","5-14 years",0,9062,"Millenials"
"Antigua and Barbuda",1994,"female","55-74 years",0,9062,"Silent"
"Antigua and Barbuda",1994,"female","75+ years",0,9062,"G.I. Generation"
"Antigua and Barbuda",1994,"male","15-24 years",0,9062,"Generation X"
"Antigua and Barbuda",1994,"male","25-34 years",0,9062,"Boomers"
"Antigua and Barbuda",1994,"male","35-54 years",0,9062,"Boomers"
"Antigua and Barbuda",1994,"male","5-14 years",0,9062,"Millenials"
"Antigua and Barbuda",1994,"male","55-74 years",0,9062,"Silent"
"Antigua and Barbuda",1994,"male","75+ years",0,9062,"G.I. Generation"
"Antigua and Barbuda",1995,"female","15-24 years",0,8636,"Generation X"
"Antigua and Barbuda",1995,"female","25-34 years",0,8636,"Generation X"
"Antigua and Barbuda",1995,"female","35-54 years",0,8636,"Boomers"
"Antigua and Barbuda",1995,"female","5-14 years",0,8636,"Millenials"
"Antigua and Barbuda",1995,"female","55-74 years",0,8636,"Silent"
"Antigua and Barbuda",1995,"female","75+ years",0,8636,"G.I. Generation"
"Antigua and Barbuda",1995,"male","15-24 years",0,8636,"Generation X"
"Antigua and Barbuda",1995,"male","25-34 years",0,8636,"Generation X"
"Antigua and Barbuda",1995,"male","35-54 years",0,8636,"Boomers"
"Antigua and Barbuda",1995,"male","5-14 years",0,8636,"Millenials"
"Antigua and Barbuda",1995,"male","55-74 years",0,8636,"Silent"
"Antigua and Barbuda",1995,"male","75+ years",0,8636,"G.I. Generation"
"Antigua and Barbuda",1998,"female","15-24 years",0,10078,"Generation X"
"Antigua and Barbuda",1998,"female","25-34 years",0,10078,"Generation X"
"Antigua and Barbuda",1998,"female","35-54 years",0,10078,"Boomers"
"Antigua and Barbuda",1998,"female","5-14 years",0,10078,"Millenials"
"Antigua and Barbuda",1998,"female","55-74 years",0,10078,"Silent"
"Antigua and Barbuda",1998,"female","75+ years",0,10078,"G.I. Generation"
"Antigua and Barbuda",1998,"male","15-24 years",0,10078,"Generation X"
"Antigua and Barbuda",1998,"male","25-34 years",0,10078,"Generation X"
"Antigua and Barbuda",1998,"male","35-54 years",0,10078,"Boomers"
"Antigua and Barbuda",1998,"male","5-14 years",0,10078,"Millenials"
"Antigua and Barbuda",1998,"male","55-74 years",0,10078,"Silent"
"Antigua and Barbuda",1998,"male","75+ years",0,10078,"G.I. Generation"
"Antigua and Barbuda",1999,"female","15-24 years",0,10378,"Generation X"
"Antigua and Barbuda",1999,"female","25-34 years",0,10378,"Generation X"
"Antigua and Barbuda",1999,"female","35-54 years",0,10378,"Boomers"
"Antigua and Barbuda",1999,"female","5-14 years",0,10378,"Millenials"
"Antigua and Barbuda",1999,"female","55-74 years",0,10378,"Silent"
"Antigua and Barbuda",1999,"female","75+ years",0,10378,"G.I. Generation"
"Antigua and Barbuda",1999,"male","15-24 years",0,10378,"Generation X"
"Antigua and Barbuda",1999,"male","25-34 years",0,10378,"Generation X"
"Antigua and Barbuda",1999,"male","35-54 years",0,10378,"Boomers"
"Antigua and Barbuda",1999,"male","5-14 years",0,10378,"Millenials"
"Antigua and Barbuda",1999,"male","55-74 years",0,10378,"Silent"
"Antigua and Barbuda",1999,"male","75+ years",0,10378,"G.I. Generation"
"Antigua and Barbuda",2000,"male","55-74 years",30,11021,"Silent"
"Antigua and Barbuda",2000,"male","35-54 years",9.97,11021,"Boomers"
"Antigua and Barbuda",2000,"female","15-24 years",0,11021,"Generation X"
"Antigua and Barbuda",2000,"female","25-34 years",0,11021,"Generation X"
"Antigua and Barbuda",2000,"female","35-54 years",0,11021,"Boomers"
"Antigua and Barbuda",2000,"female","5-14 years",0,11021,"Millenials"
"Antigua and Barbuda",2000,"female","55-74 years",0,11021,"Silent"
"Antigua and Barbuda",2000,"female","75+ years",0,11021,"G.I. Generation"
